tags_collected, collisions_in_seconds, time_in_minutes, random_seed
184, 712.219, 15, 13582
193, 743.938, 15, 253827
205, 817.375, 13.9698, 280613
98, 421.25, 15, 735051
115, 614.844, 15, 518326
134, 424.703, 15, 465433
148, 943.906, 15, 60536
183, 795.484, 15, 105921
205, 995.062, 14.5005, 127762
158, 610.969, 15, 155796
156, 653.922, 15, 916208
191, 702.281, 15, 930532
201, 622.422, 15, 575134
128, 586.547, 15, 432499
152, 1224.19, 15, 14925
176, 623.406, 15, 885734
147, 620.766, 15, 178161
142, 659.219, 15, 52320
155, 496.688, 15, 882470
176, 775.328, 15, 149356
155, 1041.95, 15, 291914
186, 924.219, 15, 352718
201, 635.469, 15, 431411
119, 568.219, 15, 698356
166, 880.688, 15, 511849
137, 802.109, 15, 495218
147, 558.875, 15, 397981
136, 648.453, 15, 237327
154, 613.625, 15, 190426
178, 859.688, 15, 687859
205, 774.656, 14.9885, 758498
159, 820.531, 15, 494682
159, 760.422, 15, 485741
143, 747.703, 15, 187558
165, 772.906, 15, 279475
167, 645.672, 15, 332127
194, 962.234, 15, 630025
109, 761.562, 15, 707842
187, 783.828, 15, 626560
162, 675.797, 15, 228423
157, 430.672, 15, 902541
144, 624.891, 15, 502015
153, 770.156, 15, 394630
205, 851.047, 14.3922, 624607
180, 543.219, 15, 132410
144, 728.875, 15, 277639
162, 574.578, 15, 969530
205, 1087.38, 14.2479, 181591
130, 664.797, 15, 774401
200, 793.281, 15, 581470
