tags_collected, collisions_in_seconds, time_in_minutes, random_seed
218, 541.875, 15, 200522
232, 763.109, 15, 407410
238, 583.078, 15, 823033
248, 504.5, 15, 235850
228, 665.547, 15, 584941
208, 574.688, 15, 876206
214, 547.719, 15, 729566
231, 483.062, 15, 510165
212, 651.062, 15, 284574
235, 524.734, 15, 284605
217, 481.922, 15, 974852
248, 501.391, 15, 555899
234, 643.469, 15, 955992
219, 532.078, 15, 557060
220, 611.641, 15, 492128
217, 715.656, 15, 944705
234, 476.766, 15, 160257
179, 488.234, 15, 895392
194, 594.5, 15, 816386
185, 654.203, 15, 517275
184, 754.797, 15, 165600
228, 603.906, 15, 696556
231, 409.312, 15, 6199
183, 616.922, 15, 791563
224, 440.719, 15, 524709
202, 657.484, 15, 117810
240, 484.016, 15, 627220
208, 775.578, 15, 222692
227, 691.422, 15, 587493
168, 740.406, 15, 726571
234, 441.844, 15, 556783
192, 851.406, 15, 73953
253, 505.297, 15, 667384
202, 726.031, 15, 136317
216, 482.969, 15, 715874
236, 487.203, 15, 302926
214, 524.109, 15, 767886
188, 382.781, 15, 370725
167, 685.688, 15, 392594
209, 683.656, 15, 434222
237, 575.625, 15, 194413
250, 511.516, 15, 768641
208, 593.75, 15, 176388
199, 387.531, 15, 778191
234, 431.766, 15, 69750
200, 437.328, 15, 869924
255, 481.859, 15, 213387
233, 570.078, 15, 90882
249, 370.75, 15, 599671
168, 334.578, 15, 72059
