tags_collected, collisions_in_seconds, time_in_minutes, random_seed
171, 1760.72, 15, 534834
56, 1658.92, 15, 42722
162, 1569.61, 15, 67587
111, 2182.09, 15, 3959
148, 1762.03, 15, 645530
118, 1198.3, 15, 109514
108, 1810.84, 15, 541049
181, 1594.58, 15, 204143
131, 1906.67, 15, 566836
131, 1272.34, 15, 853823
235, 1156.41, 15, 189537
173, 1669.78, 15, 301010
53, 1898.25, 15, 16916
82, 1820.8, 15, 587485
240, 1606.88, 15, 818717
125, 1821.73, 15, 572253
204, 1222.02, 15, 353464
75, 2056.81, 15, 960369
97, 1812.16, 15, 56508
80, 1474.31, 15, 775061
203, 1231.77, 15, 318672
170, 1320.12, 15, 261536
144, 1921.3, 15, 287695
82, 1878.5, 15, 681240
235, 1277.03, 15, 524975
147, 1660.81, 15, 350262
141, 1897.14, 15, 974959
68, 1621.77, 15, 657410
141, 1821.39, 15, 528738
117, 1604.17, 15, 666467
121, 1919.38, 15, 542251
172, 1511.44, 15, 342360
110, 1460.17, 15, 559217
93, 1354.2, 15, 921480
136, 1715.45, 15, 315796
183, 1234.23, 15, 545411
103, 1712.83, 15, 298503
139, 1436.56, 15, 10676
196, 1546.5, 15, 981777
124, 1658.58, 15, 486187
229, 832.422, 15, 662123
53, 1942.52, 15, 950294
148, 1492.52, 15, 921203
65, 1783.62, 15, 37866
128, 2071.44, 15, 867071
156, 1836.88, 15, 269276
192, 1430.44, 15, 490560
180, 2117.08, 15, 818502
114, 2090, 15, 629036
163, 1496.06, 15, 267090
