tags_collected, collisions_in_seconds, time_in_minutes, random_seed
205, 263.438, 13.6, 135595
205, 253.469, 12.9672, 274512
205, 243.891, 13.2552, 425691
205, 243.047, 12.9786, 987017
205, 311.938, 12.1333, 290049
205, 434.703, 13.2943, 884738
173, 198.875, 15, 950517
205, 211.234, 12.1198, 446374
205, 283.969, 13.438, 449660
205, 200.828, 10.7859, 305644
205, 256.984, 13.7839, 768673
203, 188.25, 15, 88083
205, 227.109, 11.4995, 469501
205, 208.188, 12.7016, 252954
205, 210.562, 13.9068, 764016
176, 164.953, 15, 330652
205, 249.062, 13.9193, 7375
205, 237.688, 13.4464, 695321
205, 159.016, 13.113, 547497
205, 336.797, 13.7365, 84802
205, 184.578, 11.3281, 191647
205, 303.125, 12.6651, 642796
205, 208.219, 13.4953, 60815
202, 353.219, 15, 16060
205, 207.656, 12.7714, 230702
205, 306.734, 12.2333, 964489
205, 188.859, 11.6328, 617461
201, 239.969, 15, 787824
205, 233.391, 11.6172, 228308
205, 259.594, 14.7807, 121938
205, 230.516, 13.6917, 189496
205, 187.75, 13.1339, 404860
205, 289.25, 13.437, 159076
178, 575, 15, 38096
205, 213.891, 10.7214, 14443
205, 274.578, 10.4026, 444047
205, 278.531, 12.8073, 323045
205, 182.75, 11.5724, 260614
205, 249.266, 12.8786, 264732
205, 226.938, 12.5943, 565167
200, 218.922, 15, 287597
205, 258.562, 12.4875, 831088
205, 218.688, 11.0464, 59963
205, 284.203, 12.113, 142183
205, 245.109, 14.0464, 909627
205, 207.516, 13.1536, 216003
205, 303.766, 13.9807, 155901
205, 282.062, 12.638, 346960
191, 185.172, 15, 678201
205, 208.984, 13.5042, 99562
