tags_collected, collisions_in_seconds, time_in_minutes, random_seed
392, 292.391, 15, 497995
382, 291.141, 15, 123026
381, 311.5, 15, 686036
379, 315.062, 15, 504664
402, 317.594, 15, 637524
380, 287.266, 15, 998913
410, 304.656, 13.7406, 449015
410, 364.672, 14.5083, 645814
385, 318.453, 15, 280305
346, 291.531, 15, 581775
377, 288.406, 15, 994069
410, 232.547, 13.3714, 441317
404, 392.828, 15, 497054
403, 275.094, 15, 540809
410, 276.516, 14.763, 64971
410, 338.5, 14.9714, 376553
410, 263.703, 14.7057, 626020
380, 318.953, 15, 838970
381, 269.797, 15, 405378
371, 327.5, 15, 796455
410, 268.25, 13.9349, 355696
394, 335.188, 15, 230615
371, 324.203, 15, 708904
394, 332.312, 15, 198316
388, 307.203, 15, 379283
381, 268.375, 15, 802939
389, 292.719, 15, 628204
377, 349.859, 15, 58894
386, 281.906, 15, 457013
389, 364.969, 15, 973548
373, 364.281, 15, 196389
403, 251.594, 15, 598206
383, 330.969, 15, 215375
382, 278.5, 15, 592457
410, 272.75, 14.4625, 294097
406, 294.531, 15, 955289
404, 292.25, 15, 236886
375, 285.5, 15, 755675
358, 344.984, 15, 688526
374, 298.375, 15, 707213
395, 282.547, 15, 15010
373, 303.453, 15, 547313
358, 353.531, 15, 309737
410, 251.016, 14.3146, 818383
399, 354.375, 15, 44210
400, 240, 15, 323850
385, 353.656, 15, 995687
410, 276.047, 14.8193, 397363
398, 297.578, 15, 620872
395, 314.016, 15, 6493
