tags_collected, collisions_in_seconds, time_in_minutes, random_seed
250, 1695.67, 15, 131676
234, 2046.81, 15, 877768
307, 1295.88, 15, 984545
216, 1869.47, 15, 612277
259, 1335.64, 15, 51146
130, 2073.38, 15, 298512
126, 2083.62, 15, 214705
286, 1405.73, 15, 779929
128, 1803.7, 15, 99476
293, 1641.36, 15, 697889
228, 1999.52, 15, 452869
243, 1313.5, 15, 368647
241, 1455.36, 15, 84774
290, 1439.36, 15, 840633
196, 2182.38, 15, 95100
299, 1021.44, 15, 873750
339, 1435.66, 15, 673106
251, 1822.38, 15, 101947
208, 1478.89, 15, 394868
285, 2014.05, 15, 576574
258, 973.516, 15, 154557
333, 926.953, 15, 528272
184, 2305.16, 15, 929251
166, 2383.81, 15, 168620
195, 1929.64, 15, 128437
215, 1681.09, 15, 701912
225, 2105.17, 15, 756328
213, 2634.28, 15, 616942
244, 1847.08, 15, 359697
226, 2204.97, 15, 468957
233, 1628.52, 15, 806114
236, 2303.64, 15, 982382
179, 2038.98, 15, 991870
289, 1436.92, 15, 310566
190, 1791.28, 15, 317952
278, 1566.7, 15, 633729
258, 1502, 15, 883490
173, 2293.83, 15, 364394
256, 662.625, 15, 578301
313, 752.406, 15, 919664
247, 1317.69, 15, 684725
165, 1545.78, 15, 388100
316, 1274.61, 15, 835941
166, 1850.28, 15, 269235
262, 1371.17, 15, 312869
198, 1795.11, 15, 685882
157, 2361.69, 15, 715716
185, 1789.05, 15, 632515
254, 1172.8, 15, 792512
250, 1511.28, 15, 758123
