tags_collected, collisions_in_seconds, time_in_minutes, random_seed
458, 160.672, 15, 538361
458, 160.859, 15, 766813
474, 148.406, 15, 429684
475, 136.375, 15, 75894
466, 142.188, 15, 652981
463, 152.609, 15, 199392
453, 140.125, 15, 479984
466, 144.156, 15, 988819
441, 157.297, 15, 360671
454, 139.828, 15, 605587
452, 170.922, 15, 597230
467, 165.359, 15, 576560
473, 125.688, 15, 363546
456, 140.688, 15, 770146
477, 144.391, 15, 552651
455, 157.5, 15, 989132
460, 134.641, 15, 559966
450, 154, 15, 85187
460, 155.641, 15, 805444
471, 144.031, 15, 475491
468, 165.047, 15, 329229
469, 160.703, 15, 686028
470, 141.234, 15, 57563
471, 158.406, 15, 794521
474, 156.578, 15, 601953
466, 160.391, 15, 12123
475, 163.781, 15, 590486
464, 142.469, 15, 66102
466, 154.797, 15, 47430
441, 162.156, 15, 805183
