tags_collected, collisions_in_seconds, time_in_minutes, random_seed
481, 128.594, 15, 443553
447, 144.125, 15, 646533
452, 160.156, 15, 362136
458, 138.484, 15, 946477
465, 126.844, 15, 535712
450, 167.062, 15, 60074
456, 134.453, 15, 626835
486, 125.734, 15, 324757
460, 134.641, 15, 157606
467, 158.094, 15, 123302
448, 144.312, 15, 723307
444, 152.281, 15, 538114
469, 144.844, 15, 99067
457, 158.906, 15, 766006
462, 136.906, 15, 598558
465, 152.531, 15, 376010
477, 145.516, 15, 21318
462, 144.234, 15, 734890
446, 134.109, 15, 536189
454, 128.875, 15, 156251
461, 177.625, 15, 641193
468, 156, 15, 131510
474, 147.594, 15, 657599
462, 166.672, 15, 66732
465, 137.609, 15, 572982
446, 157.328, 15, 143909
451, 180.641, 15, 601309
465, 152.375, 15, 45468
474, 135.312, 15, 689530
479, 161.781, 15, 306468
