tags_collected, collisions_in_seconds, time_in_minutes, random_seed
491, 343.906, 10, 258037
501, 347.688, 10, 555736
497, 327.188, 10, 978192
498, 334.656, 10, 199305
489, 312.953, 10, 474782
502, 321.062, 10, 194528
497, 328.219, 10, 671044
493, 317.469, 10, 392772
491, 331.094, 10, 962209
491, 337.312, 10, 278117
499, 305.031, 10, 209608
495, 294.344, 10, 805841
493, 307.609, 10, 291208
495, 336.438, 10, 579134
494, 285.609, 10, 898320
496, 339.984, 10, 67480
497, 336.281, 10, 984512
498, 332, 10, 862961
504, 337.219, 10, 320024
495, 352.016, 10, 398222
498, 328.594, 10, 223967
492, 317.172, 10, 898595
497, 359.062, 10, 113540
496, 329.531, 10, 254028
488, 333.656, 10, 814263
499, 327.438, 10, 649657
497, 312.234, 10, 34383
490, 332.25, 10, 913042
495, 324.812, 10, 903443
498, 343.359, 10, 168456
