tags_collected, collisions_in_seconds, time_in_minutes, random_seed
149, 68.6719, 10, 225996
146, 77.3438, 10, 982094
146, 107.484, 10, 453747
145, 102.625, 10, 947641
144, 82.875, 10, 389800
144, 90.0469, 10, 906999
155, 114.062, 10, 303644
137, 85.2031, 10, 727310
154, 107.328, 10, 262050
155, 94.0156, 10, 485968
144, 116.438, 10, 758651
152, 73.7656, 10, 124112
146, 88.2812, 10, 485582
140, 88.4531, 10, 59924
151, 100.219, 10, 581614
153, 109.078, 10, 55932
144, 89.1406, 10, 540302
143, 102.188, 10, 972115
153, 94.625, 10, 654442
148, 80, 10, 247895
150, 99.3125, 10, 999925
154, 84.1094, 10, 664883
145, 94.6562, 10, 268649
149, 86.6562, 10, 847017
146, 84.0312, 10, 498643
148, 92.5781, 10, 275697
142, 84.125, 10, 882942
146, 97.5, 10, 557071
151, 117.875, 10, 197095
155, 117.344, 10, 751878
