tags_collected, collisions_in_seconds, time_in_minutes, random_seed
128, 11.625, 10, 57433
129, 12.5938, 10, 802898
138, 11.7188, 10, 500317
130, 11.125, 10, 291146
134, 11.6875, 10, 996486
125, 6.28125, 10, 646109
128, 8.17188, 10, 377885
127, 9.60938, 10, 4873
138, 12.625, 10, 668553
125, 8.96875, 10, 327648
132, 7.875, 10, 24455
132, 6.1875, 10, 752186
134, 7.84375, 10, 477225
120, 13.1562, 10, 200448
131, 7.59375, 10, 957222
130, 7.45312, 10, 619931
138, 7.79688, 10, 341566
130, 9.90625, 10, 58043
140, 9.59375, 10, 767819
134, 8.14062, 10, 453011
137, 12.6875, 10, 197229
130, 11.2344, 10, 921457
140, 4.48438, 10, 621351
133, 7.89062, 10, 330689
129, 7.82812, 10, 76839
133, 5.79688, 10, 792428
134, 7.73438, 10, 499768
127, 8.1875, 10, 163759
118, 8.9375, 10, 926854
136, 8.42188, 10, 774554
