tags_collected, collisions_in_seconds, time_in_minutes, random_seed
200, 43.5781, 10, 147336
197, 33.375, 10, 504167
204, 44.0781, 10, 8132
216, 41.0938, 10, 401435
204, 47.2656, 10, 895437
207, 39.75, 10, 335060
220, 31.5625, 10, 627751
203, 36.5312, 10, 57661
211, 43.1406, 10, 701975
211, 38.3594, 10, 212342
205, 36.8438, 10, 810687
211, 33.6562, 10, 245837
195, 38.8438, 10, 623886
203, 41.8906, 10, 11860
206, 47.2812, 10, 482358
206, 29.1719, 10, 929510
207, 29.625, 10, 395027
221, 37.2656, 10, 968345
202, 38.9062, 10, 392049
197, 33.6406, 10, 797803
214, 44.1094, 10, 297211
201, 47.5469, 10, 723334
223, 45.1094, 10, 151853
210, 36.9375, 10, 630242
211, 37.875, 10, 114159
212, 44.3125, 10, 657201
200, 44.5156, 10, 95197
209, 37.5, 10, 567160
206, 37.8281, 10, 986364
209, 41.2656, 10, 262500
