tags_collected, collisions_in_seconds, time_in_minutes, random_seed
94, 18.7031, 10, 147037
98, 27.6562, 10, 934991
91, 13.4062, 10, 553197
98, 20.7969, 10, 419134
90, 27.4219, 10, 178133
99, 23.5938, 10, 893604
91, 22.6719, 10, 687955
92, 18.9062, 10, 363060
96, 17.7188, 10, 379774
95, 23.2656, 10, 49777
102, 16.9375, 10, 689731
95, 32.75, 10, 329263
96, 22.1719, 10, 958805
88, 25, 10, 634118
101, 17.6719, 10, 314986
95, 22.8594, 10, 84181
96, 17.2031, 10, 735581
92, 14.2969, 10, 389689
92, 21.7656, 10, 70195
102, 25.8594, 10, 760427
95, 26.5469, 10, 343694
97, 23.6875, 10, 119994
87, 16.9688, 10, 754162
92, 27.7812, 10, 422387
94, 17.6719, 10, 77067
95, 10.9062, 10, 759099
94, 18.9844, 10, 445966
83, 24.4844, 10, 152135
93, 24.4844, 10, 803185
92, 15.8125, 10, 492082
