tags_collected, collisions_in_seconds, time_in_minutes, random_seed
359, 26, 34.2734, 457137
359, 25, 33.3, 377101
359, 29.8125, 34.2203, 780122
359, 30.3281, 35.5896, 486105
359, 25.8906, 33.7391, 881096
359, 28.4062, 33.1573, 531514
359, 42.3125, 35.4458, 909830
359, 37.0156, 34.4151, 191010
359, 26.0156, 34.2469, 171232
359, 34.7031, 37.1568, 994110
359, 26.5156, 33.7599, 902996
359, 29.0312, 34.0307, 477338
359, 32.125, 34.5703, 131332
359, 27.6562, 35.4047, 516763
359, 33.5469, 36.0667, 995767
359, 27.0781, 33.3891, 568508
359, 34.625, 36.0339, 264984
359, 28.4219, 33.3474, 365276
359, 17.5469, 33.1109, 748757
359, 36.375, 35.0917, 132802
359, 32.7812, 33.4469, 322682
359, 59.5938, 38.1099, 799834
359, 33.0312, 35.1745, 20702
359, 30.2656, 35.6214, 393681
359, 33.2812, 35.1427, 42335
359, 36.3438, 36.2328, 468909
359, 40.1406, 34.7078, 124635
359, 24.1406, 35.0068, 19246
359, 29.2031, 30.9656, 151462
359, 28.6719, 33.0609, 791510
