tags_collected, collisions_in_seconds, time_in_minutes, random_seed
359, 85, 30.8062, 305165
359, 70.875, 30.6161, 464847
359, 84.875, 31.487, 548826
359, 99.6719, 33.3083, 27343
359, 97.9219, 31.2693, 60822
359, 97.5625, 31.3646, 554856
359, 90.4219, 31.9005, 845890
359, 78.0469, 30.6474, 442983
359, 99.8281, 31.0703, 610148
359, 87.2188, 31.8672, 584356
359, 75.25, 31.4875, 111882
359, 74.4688, 30.4021, 231100
359, 79.6562, 30.1526, 89172
359, 86.75, 29.7104, 942403
359, 78.2344, 31.1016, 659461
359, 95.6719, 30.5526, 784066
359, 102.734, 31.8469, 706854
359, 82.3125, 32.6573, 150416
359, 99.0312, 32.5063, 878865
359, 82.2344, 29.8938, 536356
359, 75.5156, 31.6214, 240287
359, 78.2031, 30.8323, 633355
359, 87.6094, 31.8135, 869925
359, 84.8594, 30.1635, 270242
359, 100.969, 31.1771, 149173
359, 87.7969, 31.3495, 428159
359, 117.766, 32.4901, 864516
359, 89.4688, 31.3672, 504368
359, 82, 32.0729, 770145
359, 85.5, 31.0531, 339113
