tags_collected, collisions_in_seconds, time_in_minutes, random_seed
1434, 334.688, 55.4818, 604053
1434, 342.578, 55.326, 194052
1434, 317.766, 55.6474, 805117
1434, 323.891, 58.438, 572714
1434, 329.016, 57.1411, 324546
1434, 320.969, 53.6688, 497831
1434, 370.625, 55.9839, 833252
1434, 330.922, 54.4276, 531882
1434, 354.172, 55.4891, 410459
1434, 329.984, 56.7563, 345067
1434, 389.594, 54.5766, 61557
1434, 344.266, 58.7557, 845976
1434, 314.656, 55.4641, 780928
1434, 345.906, 56.5724, 155888
1434, 368.609, 57.2224, 96275
1434, 319.516, 52.2016, 608084
1434, 358.422, 56.2432, 22384
1434, 317.234, 57.8698, 82053
1434, 300.141, 54.7052, 397319
1434, 357.25, 57.088, 452290
1434, 318.891, 55.1859, 736957
1434, 340.844, 55.3068, 335604
1434, 340.609, 57.4062, 272180
1434, 330.141, 56.55, 471654
1434, 303.047, 56.3896, 703492
1434, 308.531, 57.6177, 455774
1434, 329.078, 52.4167, 766550
1434, 378, 54.5135, 58399
1434, 337.484, 55.0417, 433007
1434, 362.422, 56.0802, 511512
