tags_collected, collisions_in_seconds, time_in_minutes, random_seed
359, 252.188, 18.2271, 708631
359, 257.531, 19.1453, 320491
359, 284.812, 18.2828, 272561
359, 269.75, 18.363, 237543
359, 235.078, 19.2349, 96444
359, 259.172, 19.7495, 155539
359, 245.453, 18.2859, 28004
359, 259.094, 18.3307, 902097
359, 247.734, 18.6187, 834862
359, 268.281, 19.4948, 66344
359, 256.359, 19.3411, 436353
359, 239.219, 18.013, 596475
359, 244.672, 18.9083, 172508
359, 256.109, 18.9203, 717181
359, 247.922, 18.6198, 522351
359, 243.484, 18.1802, 50389
359, 245.484, 18.9495, 617579
359, 259.078, 19.0078, 476154
359, 240.859, 19.1568, 456245
359, 252.141, 18.249, 485644
359, 265.859, 18.7786, 198594
359, 259.5, 18.8651, 553573
359, 244.016, 18.7672, 913713
359, 243.703, 18.4474, 594030
359, 250.281, 18.4172, 475166
359, 258.047, 19.2724, 332593
359, 241.031, 19.1823, 918326
359, 237.281, 18.3255, 176866
359, 263.609, 18.7974, 910226
359, 222.578, 18.0865, 451610
