tags_collected, collisions_in_seconds, time_in_minutes, random_seed
405, 102.078, 10, 30886
398, 99.6094, 10, 379959
391, 95.875, 10, 935236
409, 81.2344, 10, 284397
423, 79.6406, 10, 794200
416, 93.8906, 10, 375552
430, 82.9219, 10, 695055
408, 97.4531, 10, 197958
429, 81.125, 10, 710189
418, 80.6875, 10, 263161
406, 79.4062, 10, 781699
409, 105.047, 10, 523808
412, 95.125, 10, 888615
420, 82.8594, 10, 205000
413, 87.0938, 10, 610830
391, 95.5625, 10, 39327
426, 101.812, 10, 643653
395, 102.375, 10, 169336
401, 102.609, 10, 667896
405, 95.4062, 10, 134135
405, 85.2344, 10, 515831
408, 88.7969, 10, 79494
401, 83.9219, 10, 618060
418, 95.5, 10, 296902
408, 83.8438, 10, 849915
417, 87.625, 10, 396347
427, 88.1562, 10, 762356
394, 95, 10, 155395
400, 91.8906, 10, 787294
415, 82.4531, 10, 388566
