tags_collected, collisions_in_seconds, time_in_minutes, random_seed
435, 92.5312, 10, 302116
432, 101.031, 10, 696430
432, 84, 10, 751992
425, 114.812, 10, 623913
425, 101.391, 10, 575569
432, 108.562, 10, 319812
429, 110.594, 10, 147727
434, 104.219, 10, 9523
436, 95.3906, 10, 882256
442, 98.75, 10, 758949
423, 115.516, 10, 712925
441, 102.516, 10, 777529
420, 142.391, 10, 968684
418, 96.9375, 10, 761169
418, 104.609, 10, 707051
428, 97.1562, 10, 63319
446, 102.172, 10, 905330
432, 91.8906, 10, 771045
421, 104.047, 10, 682392
435, 90.6719, 10, 35901
426, 95.1562, 10, 553419
432, 86.4062, 10, 338883
437, 115.109, 10, 813504
437, 94.1562, 10, 589501
434, 105.859, 10, 530107
446, 106.766, 10, 5002
425, 100.062, 10, 115453
430, 112.438, 10, 113349
400, 106.719, 10, 32209
442, 91.1719, 10, 435364
