tags_collected, collisions_in_seconds, time_in_minutes, random_seed
360, 107.625, 8.98698, 679986
359, 92.1406, 9.00208, 383939
359, 110.281, 9.6276, 141288
359, 90.9062, 9.09167, 717716
359, 107.844, 9.23594, 333232
359, 93.6875, 9.28177, 33157
359, 104.344, 9.76979, 83944
359, 94.8125, 9.25521, 226304
359, 99.5625, 9.52292, 432096
359, 96.4375, 9.57656, 787003
359, 102.516, 9.625, 649727
359, 88.7656, 9.57865, 435532
359, 117.062, 9.59792, 101602
359, 103.25, 9.16615, 774113
359, 116.516, 9.51458, 369080
359, 107.625, 8.89375, 361640
358, 123.188, 10, 447794
359, 116.562, 8.96094, 219390
359, 94.8438, 9.24948, 251951
359, 85.7969, 9.74844, 673926
359, 104.172, 9.77292, 10792
359, 117.25, 9.44896, 270822
359, 100.188, 9.23542, 329627
359, 119.125, 9.61302, 859634
359, 87.0312, 9.47188, 944027
359, 97.375, 9.51615, 916974
359, 96.1719, 9.35052, 933323
359, 105.203, 9.2651, 678269
359, 101.922, 9.39115, 300567
359, 126.297, 9.94115, 32859
