tags_collected, collisions_in_seconds, time_in_minutes, random_seed
179, 44.7031, 10, 661438
188, 116.484, 10, 382470
177, 43.8281, 10, 689540
185, 133.859, 10, 599303
179, 48.7656, 10, 338009
265, 59.5, 10, 645433
202, 211.672, 10, 809094
213, 40.6562, 10, 662794
184, 111.562, 10, 717156
242, 93.6562, 10, 522157
199, 43.125, 10, 610990
194, 51.9219, 10, 513413
210, 66.4375, 10, 87002
222, 46.6875, 10, 601678
144, 33.25, 10, 243654
173, 31.8281, 10, 322845
200, 78.5312, 10, 619277
179, 44.3438, 10, 357160
215, 188.938, 10, 537806
250, 185.266, 10, 589503
219, 62.8906, 10, 831455
210, 110.984, 10, 448239
194, 62.1562, 10, 911526
206, 40.75, 10, 932289
192, 46.4219, 10, 821449
203, 37.4375, 10, 701407
152, 26.4844, 10, 400413
183, 46.5625, 10, 420483
186, 33.7656, 10, 581227
185, 51.4844, 10, 698615
