tags_collected, collisions_in_seconds, time_in_minutes, random_seed
81, 43.2031, 10, 545328
82, 21.1875, 10, 176859
74, 11.1875, 10, 925777
91, 9.40625, 10, 841363
73, 14.75, 10, 566382
84, 10.0156, 10, 434208
76, 17.3125, 10, 236954
71, 13.2812, 10, 16370
71, 11.1406, 10, 830909
80, 5.0625, 10, 734162
79, 15.1094, 10, 543484
84, 23.25, 10, 423185
76, 16.5156, 10, 163347
82, 11.8594, 10, 6289
67, 11.625, 10, 798657
76, 7.85938, 10, 595877
76, 11.2031, 10, 562802
76, 13.4531, 10, 699637
80, 10.8125, 10, 537252
76, 8.9375, 10, 462022
71, 9.54688, 10, 382248
82, 13.7656, 10, 290780
82, 18.9062, 10, 163434
72, 10.4531, 10, 947264
99, 23.1562, 10, 775941
80, 14.9531, 10, 745352
70, 17.7969, 10, 603067
88, 11.1875, 10, 464882
74, 15.3281, 10, 259206
83, 21.6562, 10, 192278
