tags_collected, collisions_in_seconds, time_in_minutes, random_seed
1524, 360.875, 10, 479582
1554, 346.031, 10, 465548
1577, 364.828, 10, 753247
1526, 367.5, 10, 373282
1530, 379.578, 10, 375683
1558, 374.844, 10, 536730
1519, 364.219, 10, 492674
1536, 342.594, 10, 580987
1530, 350.094, 10, 77796
1582, 342.656, 10, 42656
1523, 339.625, 10, 930694
1527, 345.516, 10, 612172
1529, 374.859, 10, 761885
1545, 366.562, 10, 183778
1513, 373.875, 10, 605825
1542, 338.875, 10, 148171
1552, 338.906, 10, 920923
1552, 347.266, 10, 781642
1539, 359.562, 10, 708380
1538, 334.375, 10, 589297
1557, 328.109, 10, 438875
1545, 364.844, 10, 545910
1531, 363, 10, 679872
1522, 335.953, 10, 774309
1513, 348.562, 10, 950796
1527, 343.828, 10, 837152
1532, 328.812, 10, 950674
1545, 341.125, 10, 403646
1553, 371.781, 10, 418774
1535, 350.891, 10, 56926
