tags_collected, collisions_in_seconds, time_in_minutes, random_seed
173, -43.25, 10, 665828
181, -45.25, 10, 485992
169, -42.25, 10, 536445
173, -43.25, 10, 704004
190, -47.5, 10, 314486
164, -41, 10, 160140
165, -41.25, 10, 199493
170, -42.5, 10, 600343
150, -37.5, 10, 187365
172, -43, 10, 146715
189, -47.25, 10, 87297
164, -41, 10, 958186
154, -38.5, 10, 282525
166, -41.5, 10, 117221
161, -40.25, 10, 508664
154, -38.5, 10, 219995
164, -41, 10, 584613
161, -40.25, 10, 808798
177, -44.25, 10, 69772
187, -46.75, 10, 457607
162, -40.5, 10, 283056
171, -42.75, 10, 52136
163, -40.75, 10, 871988
171, -42.75, 10, 604072
153, -38.25, 10, 867067
154, -38.5, 10, 670778
171, -42.75, 10, 541539
165, -41.25, 10, 273766
177, -44.25, 10, 910518
178, -44.5, 10, 549906
