tags_collected, collisions_in_seconds, time_in_minutes, random_seed
121, -30.25, 10, 275090
133, -33.25, 10, 898661
130, -32.5, 10, 786397
128, -32, 10, 603864
115, -28.75, 10, 171832
130, -32.5, 10, 955594
139, -34.75, 10, 121399
119, -29.75, 10, 337108
123, -30.75, 10, 953520
124, -31, 10, 368364
118, -29.5, 10, 438511
132, -33, 10, 937428
128, -32, 10, 380877
121, -30.25, 10, 274187
119, -29.75, 10, 110377
115, -28.75, 10, 220137
122, -30.5, 10, 259185
121, -30.25, 10, 378786
132, -33, 10, 178096
128, -32, 10, 89450
126, -31.5, 10, 268783
122, -30.5, 10, 914404
114, -28.5, 10, 530856
141, -35.25, 10, 83494
134, -33.5, 10, 424593
119, -29.75, 10, 297130
135, -33.75, 10, 688447
116, -29, 10, 47831
133, -33.25, 10, 578866
133, -33.25, 10, 487954
