tags_collected, collisions_in_seconds, time_in_minutes, random_seed
42, -10.5, 10, 627999
36, -9, 10, 221252
38, -9.5, 10, 882962
46, -11.5, 10, 509940
38, -9.5, 10, 420813
39, -9.75, 10, 927964
36, -9, 10, 83568
40, -10, 10, 631042
36, -9, 10, 765203
39, -9.75, 10, 19732
38, -9.5, 10, 327810
34, -8.5, 10, 752466
39, -9.75, 10, 911590
37, -9.25, 10, 274330
38, -9.5, 10, 870941
40, -10, 10, 777524
43, -10.75, 10, 163625
37, -9.25, 10, 832888
38, -9.5, 10, 509038
39, -9.75, 10, 794294
35, -8.75, 10, 562550
39, -9.75, 10, 6185
41, -10.25, 10, 470981
33, -8.25, 10, 317906
37, -9.25, 10, 62370
36, -9, 10, 774916
42, -10.5, 10, 582876
41, -10.25, 10, 404761
39, -9.75, 10, 756290
38, -9.5, 10, 69017
