INFO:root:Starting generation: 0
INFO:root:Starting generation: 1
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 7.328354
INFO:root:partial fitness = 14.664960
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 7.365590
INFO:root:partial fitness = 10.492588
INFO:root:partial fitness = 7.509578
INFO:root:partial fitness = 4.644343
INFO:root:partial fitness = 7.328354
INFO:root:partial fitness = 11.067036
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 7.509578
INFO:root:partial fitness = 14.297881
INFO:root:partial fitness = 4.644343
INFO:root:partial fitness = 4.510737
INFO:root:partial fitness = 10.371165
INFO:root:Starting generation: 2
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 18.292830
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 4.644343
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 4.566236
INFO:root:partial fitness = 7.509578
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 5.189396
INFO:root:Starting generation: 3
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 16.365091
INFO:root:partial fitness = 4.955845
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 5.681403
INFO:root:partial fitness = 4.111774
INFO:root:partial fitness = 4.111774
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 4.465784
INFO:root:Starting generation: 4
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 4.465784
INFO:root:partial fitness = 9.410875
INFO:root:partial fitness = 4.673526
INFO:root:partial fitness = 4.111774
INFO:root:partial fitness = 4.638757
INFO:root:partial fitness = 4.440231
INFO:root:partial fitness = 4.111774
INFO:root:partial fitness = 4.111774
INFO:root:partial fitness = 4.701945
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 4.088254
INFO:root:partial fitness = 9.120079
INFO:root:partial fitness = 4.111774
INFO:root:partial fitness = 6.084721
INFO:root:Starting generation: 5
INFO:root:partial fitness = 3.965617
INFO:root:partial fitness = 4.281420
INFO:root:partial fitness = 4.152960
INFO:root:partial fitness = 4.638757
