tags_collected, collisions_in_seconds, time_in_minutes, random_seed
213, 732.5, 30, 604480
205, 694.75, 30, 553251
228, 1067.06, 30, 677612
218, 672.078, 30, 303213
246, 1091.03, 30, 984072
164, 559.5, 30, 816163
181, 698.891, 30, 635756
240, 1064.05, 30, 741253
255, 929.969, 29.1667, 274951
158, 418.859, 30, 248748
238, 1119.12, 30, 278705
249, 1058.06, 30, 712084
180, 702.984, 30, 586813
206, 424.938, 30, 280874
199, 619.484, 30, 263016
161, 722.828, 30, 925882
190, 722.484, 30, 108111
247, 980.875, 30, 69165
188, 1259.95, 30, 133236
218, 796.609, 30, 311283
229, 924.75, 30, 888715
250, 874.766, 29.4417, 365637
202, 1035.92, 30, 811978
245, 1219.02, 30, 400654
189, 788.062, 30, 307346
245, 1326.5, 30, 243226
214, 745.078, 30, 922232
176, 1015.03, 30, 434002
254, 1161.58, 30, 940873
249, 1089.23, 30, 987072
255, 1062.97, 30, 292736
232, 1098, 30, 927903
177, 918.188, 30, 664177
230, 858.078, 30, 34369
218, 811.984, 30, 745998
250, 1480.45, 30, 751312
150, 495.406, 30, 559991
180, 485.594, 30, 769056
217, 787.484, 30, 227978
223, 915.391, 30, 628792
193, 874.922, 30, 551047
132, 307.25, 30, 662742
192, 793.594, 30, 682266
187, 813.328, 30, 664298
200, 610.391, 30, 466331
216, 774, 30, 222019
182, 759.484, 30, 11816
232, 1252.52, 30, 742017
172, 338.156, 30, 343067
180, 413.484, 30, 591689
254, 1235.19, 30, 442912
234, 1318.73, 30, 579286
254, 943.906, 30, 109364
239, 964.703, 30, 476376
254, 1005.89, 30, 561181
232, 1005.86, 30, 25828
246, 1256.77, 28.6, 395494
252, 1186.42, 30, 2233
182, 1690.45, 30, 745212
227, 1254.75, 30, 698964
246, 1342.88, 30, 282196
241, 1083.33, 30, 545359
248, 1199.89, 30, 907819
226, 988.281, 30, 438622
253, 958.078, 30, 69376
255, 1459.34, 29.875, 977079
205, 803.203, 30, 281211
188, 631.016, 30, 733220
239, 727.938, 30, 951151
227, 866.781, 30, 333463
255, 1252.56, 28.6583, 136525
189, 839.359, 30, 246240
227, 760.375, 30, 916237
241, 940.219, 30, 236326
216, 881.609, 30, 767663
246, 1125.92, 30, 804088
165, 500.531, 30, 88160
255, 876.812, 28.875, 43162
234, 989.203, 30, 257291
207, 844.797, 30, 408866
219, 881.984, 30, 581153
191, 1020.05, 30, 811838
233, 1163.33, 30, 174421
254, 1153.59, 30, 571338
243, 1143.28, 30, 397862
204, 1288.59, 30, 671343
255, 1273.58, 24.1167, 744841
239, 1124.27, 30, 276993
208, 784.297, 30, 785706
253, 1018.17, 28.6833, 351474
242, 1200.17, 30, 407790
199, 810.469, 30, 556688
232, 923.422, 30, 540324
221, 909.828, 30, 274296
255, 824.094, 28.725, 488331
253, 1642.05, 29.1, 958791
205, 641.234, 30, 50969
255, 1088.52, 30, 198450
216, 761.672, 30, 182691
226, 893.969, 30, 9500
189, 406.016, 30, 548341
