tags_collected, collisions_in_seconds, time_in_minutes, random_seed
182, 693.266, 30, 378675
199, 557.141, 30, 690198
164, 392, 30, 199964
186, 579.688, 30, 107373
192, 474.516, 30, 838706
157, 356.328, 30, 672655
253, 583.078, 30, 831524
137, 334.188, 30, 694828
189, 523.688, 30, 345250
164, 584.688, 30, 696438
177, 504.562, 30, 638690
203, 629.375, 30, 927777
177, 468.344, 30, 285690
183, 405.234, 30, 620706
221, 519.938, 30, 956901
150, 343.844, 30, 17998
171, 592.641, 30, 259858
201, 436.328, 30, 551215
168, 400.359, 30, 375929
141, 342.438, 30, 777900
153, 460.094, 30, 692707
165, 474.453, 30, 204548
207, 805.047, 30, 860657
210, 661.719, 30, 168796
178, 527.625, 30, 718816
153, 642.844, 30, 645487
197, 591.156, 30, 577487
199, 392.609, 30, 614082
199, 427, 30, 166505
193, 564.016, 30, 395198
179, 623.047, 30, 972137
230, 549.203, 30, 963400
179, 386.766, 30, 834059
176, 485.359, 30, 839443
190, 527.297, 30, 749023
253, 576.797, 30, 398214
189, 693.453, 30, 854489
170, 687.922, 30, 245449
199, 584.266, 30, 833835
141, 346.234, 30, 855553
186, 467.047, 30, 784698
133, 296.188, 30, 662960
153, 490.906, 30, 696421
244, 585.031, 30, 626075
154, 367.984, 30, 550443
242, 580.547, 30, 839087
238, 570.688, 30, 769604
151, 329.531, 30, 771509
176, 351.938, 30, 132357
169, 507.406, 30, 809672
171, 512.219, 30, 716790
220, 913.891, 30, 970056
252, 628.219, 30, 436089
164, 465.484, 30, 583007
194, 616.203, 30, 787970
181, 441.906, 30, 173543
183, 614.609, 30, 425648
182, 544.469, 30, 255857
154, 458.344, 30, 789161
223, 736.797, 30, 232955
212, 792.516, 30, 966497
235, 903, 30, 93040
149, 230.766, 30, 366110
185, 790.938, 30, 837938
217, 726.078, 30, 125554
168, 366.156, 30, 650252
183, 548.312, 30, 723509
186, 402.438, 30, 909070
186, 397.594, 30, 530270
179, 615.844, 30, 889820
136, 246.953, 30, 838623
158, 495, 30, 493736
152, 424.438, 30, 187799
246, 770.703, 30, 319542
140, 278.641, 30, 392604
144, 302.141, 30, 349256
231, 581.938, 30, 431442
185, 540.609, 30, 135192
213, 538.266, 30, 141223
172, 485.828, 30, 403711
212, 631.422, 30, 293776
227, 631.391, 30, 886105
121, 308.562, 30, 361014
152, 612.172, 30, 757610
162, 442.922, 30, 763714
169, 295.125, 30, 888759
174, 467.125, 30, 171324
195, 589.484, 30, 797226
222, 518.984, 30, 289284
171, 417.359, 30, 336866
191, 515.609, 30, 577006
189, 415.344, 30, 329073
184, 467.109, 30, 75392
202, 530.328, 30, 105313
219, 620.734, 30, 381628
174, 409.875, 30, 204791
157, 431.938, 30, 772276
177, 572.188, 30, 662928
137, 329.078, 30, 768000
194, 618.328, 30, 885712
123, 276.359, 30, 109122
